PairIndex,Drug1,Drug2,Conc1,Conc2,Response,ConcUnit
1,17-DMAG,KPT-330,0,30.1995172040202,7.55970551265936,nM
1,17-DMAG,KPT-330,0,30.1995172040202,5.48871730412402,nM
1,17-DMAG,KPT-330,0,30.1995172040202,5.8957323277668,nM
1,17-DMAG,KPT-330,0,30.1995172040202,8.11037289758784,nM
1,17-DMAG,KPT-330,0,30.1995172040202,8.76877955348058,nM
1,17-DMAG,KPT-330,0,30.1995172040202,5.75207996648112,nM
1,17-DMAG,KPT-330,0,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0,54.9540873857625,28.6873910167759,nM
1,17-DMAG,KPT-330,0,54.9540873857625,16.0964463952859,nM
1,17-DMAG,KPT-330,0,54.9540873857625,13.7875052612591,nM
1,17-DMAG,KPT-330,0,54.9540873857625,12.909626600926,nM
1,17-DMAG,KPT-330,0,54.9540873857625,9.36203475437436,nM
1,17-DMAG,KPT-330,0,54.9540873857625,24.9353616739823,nM
1,17-DMAG,KPT-330,0,54.9540873857625,12.6570861643918,nM
1,17-DMAG,KPT-330,0,54.9540873857625,10.7209428176297,nM
1,17-DMAG,KPT-330,0,54.9540873857625,28.2063616138536,nM
1,17-DMAG,KPT-330,0,54.9540873857625,17.5635860741988,nM
1,17-DMAG,KPT-330,0,54.9540873857625,28.3145932295112,nM
1,17-DMAG,KPT-330,0,54.9540873857625,29.1924718898443,nM
1,17-DMAG,KPT-330,0,54.9540873857625,23.9131741927725,nM
1,17-DMAG,KPT-330,0,54.9540873857625,18.7300823762853,nM
1,17-DMAG,KPT-330,0,54.9540873857625,19.5959353015453,nM
1,17-DMAG,KPT-330,0,54.9540873857625,19.3914978053033,nM
1,17-DMAG,KPT-330,0,54.9540873857625,20.1585791309864,nM
1,17-DMAG,KPT-330,0,54.9540873857625,19.4862036156042,nM
1,17-DMAG,KPT-330,0,54.9540873857625,22.4167459562322,nM
1,17-DMAG,KPT-330,0,54.9540873857625,17.3675864256264,nM
1,17-DMAG,KPT-330,0,54.9540873857625,19.4481446241675,nM
1,17-DMAG,KPT-330,0,54.9540873857625,17.0884871550904,nM
1,17-DMAG,KPT-330,0,54.9540873857625,13.3460196638122,nM
1,17-DMAG,KPT-330,0,54.9540873857625,7.12971772914684,nM
1,17-DMAG,KPT-330,0,54.9540873857625,17.3295274341897,nM
1,17-DMAG,KPT-330,0,54.9540873857625,14.8937519822391,nM
1,17-DMAG,KPT-330,0,54.9540873857625,16.9743101807802,nM
1,17-DMAG,KPT-330,0,54.9540873857625,16.8347605455122,nM
1,17-DMAG,KPT-330,0,54.9540873857625,24.6368537900412,nM
1,17-DMAG,KPT-330,0,54.9540873857625,19.6638122423089,nM
1,17-DMAG,KPT-330,0,54.9540873857625,8.74088169996828,nM
1,17-DMAG,KPT-330,0,54.9540873857625,28.1129083412623,nM
1,17-DMAG,KPT-330,0,100,64.5598740767647,nM
1,17-DMAG,KPT-330,0,100,62.0656253783751,nM
1,17-DMAG,KPT-330,0,100,57.6098801307664,nM
1,17-DMAG,KPT-330,0,100,66.7029906768374,nM
1,17-DMAG,KPT-330,0,100,62.9979416394237,nM
1,17-DMAG,KPT-330,0,100,62.7921055817896,nM
1,17-DMAG,KPT-330,0,100,62.2714614360092,nM
1,17-DMAG,KPT-330,0,100,58.9901925172539,nM
1,17-DMAG,KPT-330,0,100,66.2186705412278,nM
1,17-DMAG,KPT-330,0,100,57.9852282358639,nM
1,17-DMAG,KPT-330,0,100,64.4387940428623,nM
1,17-DMAG,KPT-330,0,100,60.5763409613755,nM
1,17-DMAG,KPT-330,0,100,64.8383581547403,nM
1,17-DMAG,KPT-330,0,100,65.0563022157646,nM
1,17-DMAG,KPT-330,0,100,66.5698026395447,nM
1,17-DMAG,KPT-330,0,100,68.942971304032,nM
1,17-DMAG,KPT-330,0,100,67.1489263979791,nM
1,17-DMAG,KPT-330,0,100,68.9861063267884,nM
1,17-DMAG,KPT-330,0,100,64.0831323917786,nM
1,17-DMAG,KPT-330,0,100,62.9119301871627,nM
1,17-DMAG,KPT-330,0,100,67.8837983695028,nM
1,17-DMAG,KPT-330,0,100,64.3127798828798,nM
1,17-DMAG,KPT-330,0,100,63.2334366747043,nM
1,17-DMAG,KPT-330,0,100,64.3701917556551,nM
1,17-DMAG,KPT-330,0,100,67.8034217476174,nM
1,17-DMAG,KPT-330,0,100,61.8555517280974,nM
1,17-DMAG,KPT-330,0,100,65.8629004478126,nM
1,17-DMAG,KPT-330,0,100,63.9338615225629,nM
1,17-DMAG,KPT-330,0,100,64.553909748536,nM
1,17-DMAG,KPT-330,0,100,69.1353771960041,nM
1,17-DMAG,KPT-330,0,100,69.1698243196693,nM
1,17-DMAG,KPT-330,0,100,65.4839820874957,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,0,0.178136690220296,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,0,3.4914791283178,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,10,0,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,10,0.430856400873517,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,19.9526231496888,0,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,19.9526231496888,5.98222979552093,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,30.1995172040202,0.530405822129024,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,30.1995172040202,11.3728876279758,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,54.9540873857625,15.6033912572906,nM
